split,pipeline,match,precision,recall,f1,true_positive,false_positive,false_negative,predicted,gold
dev,raw,exact,0.017100056529112492,0.11193339500462535,0.029667770013485348,121,6955,960,7076,1081
dev,raw,head,0.08459214501510574,0.5444444444444444,0.14643257377661562,588,6363,492,6951,1080
dev,linguistic,exact,0.022847432024169185,0.11193339500462535,0.03794887878312686,121,5175,960,5296,1081
dev,linguistic,head,0.11310904872389792,0.5416666666666666,0.1871401151631478,585,4587,495,5172,1080
dev,statistical,exact,0.01593484419263456,0.041628122109158186,0.023047375160051217,45,2779,1036,2824,1081
dev,statistical,head,0.07686832740213523,0.2,0.11105398457583547,216,2594,864,2810,1080
dev,linguistic_then_statistical,exact,0.036348949919224556,0.041628122109158186,0.03880983182406209,45,1193,1036,1238,1081
dev,linguistic_then_statistical,head,0.1781045751633987,0.20185185185185187,0.1892361111111111,218,1006,862,1224,1080
dev,statistical_then_linguistic,exact,0.036885245901639344,0.041628122109158186,0.03911342894393741,45,1175,1036,1220,1081
dev,statistical_then_linguistic,head,0.1791044776119403,0.2,0.1889763779527559,216,990,864,1206,1080
