product,aspect,positive,negative,total,count_mode
Apex AD2600 Progressive-scan DVD player,dvd player,2,0,2,unique_reviews
Apex AD2600 Progressive-scan DVD player,apex support,1,0,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,customer service,0,1,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,display,1,0,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,door,0,1,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,no disc,1,0,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,picture,1,0,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,player,1,0,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,remote control,1,0,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,remote works,0,1,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,size,1,0,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,support,0,1,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,video,1,0,1,unique_reviews
Canon G3,battery life,1,1,2,unique_reviews
Canon G3,camera,2,0,2,unique_reviews
Canon G3,auto mode,0,1,1,unique_reviews
Canon G3,battery,1,0,1,unique_reviews
Canon G3,interface,0,1,1,unique_reviews
Canon G3,lens cap,1,0,1,unique_reviews
Canon G3,quality,1,0,1,unique_reviews
Canon G3,software,1,0,1,unique_reviews
Canon G3,zoom,1,0,1,unique_reviews
Canon PowerShot SD500,battery life,1,1,2,unique_reviews
Canon PowerShot SD500,size,1,1,2,unique_reviews
Canon PowerShot SD500,sound,1,1,2,unique_reviews
Canon PowerShot SD500,adjustments,1,0,1,unique_reviews
Canon PowerShot SD500,auto mode,0,1,1,unique_reviews
Canon PowerShot SD500,camera,1,0,1,unique_reviews
Canon PowerShot SD500,color,1,0,1,unique_reviews
Canon PowerShot SD500,display,1,0,1,unique_reviews
Canon PowerShot SD500,faster,1,0,1,unique_reviews
Canon PowerShot SD500,lcd screen,1,0,1,unique_reviews
Canon PowerShot SD500,manual mode,1,0,1,unique_reviews
Canon PowerShot SD500,movie mode,1,0,1,unique_reviews
Canon PowerShot SD500,photo quality,1,0,1,unique_reviews
Canon PowerShot SD500,picture quality,1,0,1,unique_reviews
Canon PowerShot SD500,prints,1,0,1,unique_reviews
Canon PowerShot SD500,priority mode,0,1,1,unique_reviews
Canon PowerShot SD500,quality,1,0,1,unique_reviews
Canon PowerShot SD500,quality picture,1,0,1,unique_reviews
Canon PowerShot SD500,screen,1,0,1,unique_reviews
Canon PowerShot SD500,software,1,0,1,unique_reviews
Canon PowerShot SD500,speed,1,0,1,unique_reviews
Canon PowerShot SD500,speeds,1,0,1,unique_reviews
Canon PowerShot SD500,user interface,1,0,1,unique_reviews
Canon PowerShot SD500,video quality,1,0,1,unique_reviews
Canon PowerShot SD500,weight,1,0,1,unique_reviews
Canon S100,camera,3,0,3,unique_reviews
Canon S100,auto mode,1,1,2,unique_reviews
Canon S100,size,2,0,2,unique_reviews
Canon S100,battery,1,0,1,unique_reviews
Canon S100,battery life,1,0,1,unique_reviews
Canon S100,jewel,1,0,1,unique_reviews
Canon S100,lens cap,1,0,1,unique_reviews
Canon S100,macro mode,0,1,1,unique_reviews
Canon S100,manual mode,0,1,1,unique_reviews
Canon S100,viewfinder,1,0,1,unique_reviews
Canon S100,zoom,1,0,1,unique_reviews
Computer,picture,3,1,4,unique_reviews
Computer,screen quality,2,0,2,unique_reviews
Computer,acer monitor,1,0,1,unique_reviews
Computer,color display,1,0,1,unique_reviews
Computer,customer service,0,1,1,unique_reviews
Computer,design,1,0,1,unique_reviews
Computer,monitor,1,0,1,unique_reviews
Computer,product,1,0,1,unique_reviews
Computer,read,1,0,1,unique_reviews
Computer,screen,1,0,1,unique_reviews
Computer,shipping,1,0,1,unique_reviews
Computer,size,1,0,1,unique_reviews
Computer,weight,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,software,7,3,10,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,player,2,4,6,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,interface,4,0,4,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,size,4,0,4,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,sound,4,0,4,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,battery,2,0,2,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,battery life,2,0,2,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,display,2,0,2,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,earbuds,2,0,2,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,headphone jack,2,0,2,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,install,1,1,2,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,product,1,1,2,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,sound quality,2,0,2,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,control,0,1,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,fits,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,heavy,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,instruction manual,0,1,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,mediasource,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,operate,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,price,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,screen,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,scroll bar,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,scroll wheel,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,sounded,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,storage,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,use,1,0,1,unique_reviews
Creative Labs Nomad Jukebox Zen Xtra 40GB,volume,1,0,1,unique_reviews
Diaper Champ,diaper champ,3,1,4,unique_reviews
Diaper Champ,odor,2,1,3,unique_reviews
Diaper Champ,refills,0,2,2,unique_reviews
Diaper Champ,convenient,1,0,1,unique_reviews
Diaper Champ,opening,1,0,1,unique_reviews
Diaper Champ,price,1,0,1,unique_reviews
Diaper Champ,smell,1,0,1,unique_reviews
Diaper Champ,trash bags,1,0,1,unique_reviews
Diaper Champ,use,0,1,1,unique_reviews
Hitachi router,adjustment,3,0,3,unique_reviews
Hitachi router,router,3,0,3,unique_reviews
Hitachi router,price,2,0,2,unique_reviews
Hitachi router,collet,0,1,1,unique_reviews
Hitachi router,control,0,1,1,unique_reviews
Hitachi router,design,1,0,1,unique_reviews
Hitachi router,setup,1,0,1,unique_reviews
Hitachi router,stable,1,0,1,unique_reviews
ipod,battery life,2,0,2,unique_reviews
ipod,design,2,0,2,unique_reviews
ipod,interface,2,0,2,unique_reviews
ipod,battery,1,0,1,unique_reviews
ipod,operate,1,0,1,unique_reviews
ipod,software,1,0,1,unique_reviews
ipod,storage,1,0,1,unique_reviews
Linksys Router,router,3,1,4,unique_reviews
Linksys Router,setup,3,0,3,unique_reviews
Linksys Router,connection,1,0,1,unique_reviews
Linksys Router,installation,1,0,1,unique_reviews
Linksys Router,instructions,0,1,1,unique_reviews
Linksys Router,set up,1,0,1,unique_reviews
Linksys Router,use,1,0,1,unique_reviews
MicroMP3,battery,3,0,3,unique_reviews
MicroMP3,software,3,0,3,unique_reviews
MicroMP3,sound,3,0,3,unique_reviews
MicroMP3,sound quality,3,0,3,unique_reviews
MicroMP3,interface,2,0,2,unique_reviews
